id,name,source,category,size,description,last_updated
1,Network Flow Logs,Firewall,Network Security,250,NetFlow data from border routers,2024-01-15
2,Web Server Access Logs,Apache,Web Security,180,HTTP request logs from web servers,2024-01-16
3,Email Headers Analysis,Exchange,Email Security,120,SMTP headers for phishing detection,2024-01-17
4,Endpoint Detection Events,EDR,Endpoint Security,350,Endpoint detection and response alerts,2024-01-18
5,Cloud Trail Logs,AWS,Cloud Security,420,API calls and resource changes in AWS,2024-01-19
6,Active Directory Logs,Windows Server,Identity,280,Authentication and authorization events,2024-01-20
7,Database Query Logs,SQL Server,Database Security,190,SQL query execution logs,2024-01-21
8,Application Performance,AppDynamics,Application Security,150,Application performance metrics,2024-01-22
9,Container Runtime,Docker,Container Security,95,Container creation and execution logs,2024-01-23
10,Kubernetes Audit Logs,K8s,Container Security,110,Kubernetes API server audit logs,2024-01-24
11,SIEM Correlation Rules,Splunk,SIEM,320,Security event correlation rules,2024-01-25
12,Threat Intelligence Feeds,Open Source,Threat Intel,75,External threat intelligence data,2024-01-26
13,Vulnerability Scan Results,Nessus,Vulnerability,210,Network vulnerability assessment data,2024-01-27
14,Patch Management Status,WSUS,Patch Management,130,System patch status information,2024-01-28
15,Asset Inventory,CMDB,Asset Management,180,Hardware and software asset database,2024-01-29
16,Configuration Compliance,CIS Benchmarks,Compliance,95,System configuration compliance checks,2024-01-30
17,Incident Response Playbooks,Security Team,IR,50,Incident response procedures,2024-01-31
18,Forensics Memory Dumps,Volatility,Forensics,850,Memory images for forensic analysis,2024-02-01
19,Disk Image Archives,FTK,Forensics,1250,Hard drive images for investigation,2024-02-02
20,Network Packet Captures,Wireshark,Network Forensics,980,PCAP files from network taps,2024-02-03
21,Malware Analysis Reports,VirusTotal,Malware,320,Static and dynamic analysis results,2024-02-04
22,Reverse Engineering Binaries,IDA Pro,Malware,410,Disassembled malware binaries,2024-02-05
23,Sandbox Execution Logs,Cuckoo,Malware,275,Malware behavioral analysis,2024-02-06
24,YARA Rule Database,YARA,Malware,45,Malware detection signatures,2024-02-07
25,Sigma Rule Repository,Sigma,Detection,60,Generic signature format for SIEM,2024-02-08
26,STIX/TAXII Feeds,TAXII,Threat Intel,85,Structured threat information,2024-02-09
27,MAEC Analysis Reports,MAEC,Malware,120,Malware attribute enumeration,2024-02-10
28,CybOX Observable Data,CybOX,Threat Intel,95,Cyber observable expressions,2024-02-11
29,OpenIOC Indicators,OpenIOC,Threat Intel,65,Incident object characterization,2024-02-12
30,MITRE ATT&CK Mapping,MITRE,Framework,55,Technique and procedure mapping,2024-02-13
31,NIST CSF Assessment,NIST,Framework,70,NIST cybersecurity framework data,2024-02-14
32,ISO 27001 Controls,ISO,Compliance,85,Information security controls,2024-02-15
33,GDPR Compliance Logs,GDPR,Privacy,110,Data protection regulation compliance,2024-02-16
34,HIPAA Audit Trails,HIPAA,Healthcare,95,Healthcare compliance data,2024-02-17
35,PCI DSS Scans,PCI,Payment Security,75,Payment card industry compliance,2024-02-18
36,SOC 2 Reports,SOC,Compliance,120,Service organization controls,2024-02-19
37,FedRAMP Authorization,FedRAMP,Government,135,Federal risk authorization data,2024-02-20
38,Cybersecurity Maturity Model,CMMC,Defense,90,Cybersecurity maturity levels,2024-02-21
39,Zero Trust Architecture,SASE,Network,115,Zero trust implementation data,2024-02-22
40,SASE Policy Rules,SASE,Network,85,Secure access service edge policies,2024-02-23
41,SD-WAN Configuration,SD-WAN,Network,95,Software-defined wide area network,2024-02-24
42,ZTNA Access Logs,ZTNA,Network,110,Zero trust network access logs,2024-02-25
43,CASB Activity Logs,CASB,Cloud,125,Cloud access security broker data,2024-02-26
44,DLP Policy Violations,DLP,Data Security,140,Data loss prevention events,2024-02-27
45,UEBA Behavioral Baselines,UEBA,User Behavior,155,User entity behavior analytics,2024-02-28
46,SOAR Playbook Executions,SOAR,Automation,100,Security orchestration automation,2024-02-29
47,XDR Telemetry Data,XDR,Extended Detection,320,Extended detection and response,2024-03-01
48,NDR Network Analysis,NDR,Network,275,Network detection and response,2024-03-02
49,Cloud Security Posture,CSPM,Cloud,190,Cloud security posture management,2024-03-03
50,Cloud Workload Protection,CWPP,Cloud,210,Cloud workload protection platform,2024-03-04
51,Container Image Scans,Trivy,Container,95,Container vulnerability scanning,2024-03-05
52,IaC Security Scans,Checkov,DevSecOps,85,Infrastructure as code security,2024-03-06
53,SAST Code Analysis,SAST,Application,320,Static application security testing,2024-03-07
54,DAST Web Scans,DAST,Application,280,Dynamic application security testing,2024-03-08
55,SCA Dependency Checks,SCA,Application,175,Software composition analysis,2024-03-09
56,IAST Runtime Analysis,IAST,Application,195,Interactive application security,2024-03-10
57,RASP Protection Events,RASP,Application,110,Runtime application self-protection,2024-03-11
58,API Security Monitoring,API Security,API,135,API security and management,2024-03-12
59,Mobile App Security,MASVS,Mobile,120,Mobile application security,2024-03-13
60,IoT Device Inventory,IoT Security,IoT,95,Internet of things device tracking,2024-03-14
61,OT Network Monitoring,OT Security,Industrial,145,Operational technology security,2024-03-15
62,SCADA System Logs,SCADA,Industrial,165,Supervisory control and data acquisition,2024-03-16
63,ICS Protocol Analysis,ICS,Industrial,125,Industrial control system protocols,2024-03-17
64,PLC Configuration Backups,PLC,Industrial,110,Programmable logic controller configs,2024-03-18
65,RTU Telemetry Data,RTU,Industrial,105,Remote terminal unit data,2024-03-19
66,HMI Access Logs,HMI,Industrial,95,Human machine interface logs,2024-03-20
67,DCS Event History,DCS,Industrial,135,Distributed control system events,2024-03-21
68,BAS Building Automation,BAS,Industrial,85,Building automation system security,2024-03-22
69,Medical Device Inventory,IoMT,Healthcare,120,Internet of medical things,2024-03-23
70,Vehicle Network Data,Automotive,Transportation,155,Automotive cybersecurity,2024-03-24
71,Avionics System Logs,Aviation,Aerospace,165,Aviation cybersecurity data,2024-03-25
72,Maritime Navigation,Maritime,Transportation,145,Ship navigation system security,2024-03-26
73,Rail Control Systems,Rail,Transportation,135,Railway control system security,2024-03-27
74,Energy Grid SCADA,Energy,Utilities,185,Power grid security monitoring,2024-03-28
75,Water Treatment SCADA,Water,Utilities,165,Water system cybersecurity,2024-03-29
76,Oil & Gas Pipeline,Oil & Gas,Energy,175,Pipeline control system security,2024-03-30
77,Nuclear Plant Controls,Nuclear,Energy,195,Nuclear facility cybersecurity,2024-03-31
78,Smart Meter Data,Smart Grid,Energy,105,Smart grid security data,2024-04-01
79,Renewable Energy Systems,Renewables,Energy,115,Renewable energy cybersecurity,2024-04-02
80,Spacecraft Telemetry,Space,Aerospace,205,Satellite and spacecraft security,2024-04-03
81,GPS Signal Analysis,GPS,Navigation,95,Global positioning system security,2024-04-04
82,Satellite Communication,SATCOM,Communications,125,Satellite communication security,2024-04-05
83,5G Network Slices,5G,Telecom,145,5G network security monitoring,2024-04-06
84,VoIP Call Logs,VoIP,Telecom,85,Voice over IP security,2024-04-07
85,IMSI Catcher Detection,Cell Security,Telecom,95,Cellular network security,2024-04-08
86,Rogue Base Station,Cell Security,Telecom,105,Unauthorized cellular equipment,2024-04-09
87,SS7 Protocol Analysis,SS7,Telecom,115,Signaling system No. 7 security,2024-04-10
88,Diameter Protocol Logs,Diameter,Telecom,125,Diameter protocol security,2024-04-11
89,Blockchain Transaction,Blockchain,Finance,185,Cryptocurrency transaction analysis,2024-04-12
90,Smart Contract Audits,Smart Contracts,Blockchain,165,Smart contract security reviews,2024-04-13
91,DeFi Protocol Monitoring,DeFi,Finance,145,Decentralized finance security,2024-04-14
92,NFT Marketplace Logs,NFT,Blockchain,125,Non-fungible token security,2024-04-15
93,DAO Governance Votes,DAO,Blockchain,115,Decentralized autonomous organization,2024-04-16
94,Cross-Chain Bridge,Cross-Chain,Blockchain,135,Cross-chain bridge security,2024-04-17
95,Oracle Price Feeds,Oracles,Blockchain,105,Blockchain oracle security,2024-04-18
96,Staking Protocol Data,Staking,Blockchain,95,Proof-of-stake security data,2024-04-19
97,Layer 2 Rollup Data,Rollups,Blockchain,115,Layer 2 scaling solution security,2024-04-20
98,ZK Proof Verification,ZK,Blockchain,125,Zero-knowledge proof security,2024-04-21
99,Multi-Party Computation,MPC,Blockchain,135,Secure multi-party computation,2024-04-22
100,Quantum Key Distribution,QKD,Quantum,155,Quantum cryptography key data,2024-04-23